[2026-06-24 15:15:12] user=1166455103 | acao=RESETAR_SORTEIO | participants.json zerado
[2026-06-24 15:15:33] user=1166455103 | acao=RESETAR_SORTEIO | participants.json zerado
[2026-06-24 15:22:29] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 15:27:08] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 15:27:20] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 15:33:05] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 19:43:17] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 19:43:37] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 19:46:54] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 19:49:18] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 19:56:00] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 20:06:52] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 20:11:23] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 20:11:47] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-24 20:12:03] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 14:32:13] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:06:47] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:16:53] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:20:36] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:27:59] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:28:37] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:29:01] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:29:28] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-25 18:29:59] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-26 13:33:05] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-26 13:33:19] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-26 13:33:41] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-30 15:45:19] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-30 16:12:13] user=1166455103 | acao=FORCAR_PROMOCAO
[2026-06-30 16:15:32] user=1166455103 | acao=CONFIG_META | meta=1000 premio=1KG DE RESINA
[2026-06-30 17:35:39] user=1166455103 | acao=FORCAR_PROMOCAO
